IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,COD_DANE_MUN,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE1,DESCRIPCION_PRESUNTO_RESPONSABLE1,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,NumeroVictimasCaso,Estado
359706,,0,0,0,76109,ANDEN PACIFICO SUR,VALLE DEL CAUCA,BUENAVENTURA,Desconocida,ND,Grupo Posdesmovilizaci¢n,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359707,,0,0,0,27430,LITORAL PACIFICO,CHOC?,MEDIO BAUD?,Desconocida,ND,Grupo Posdesmovilizaci¢n,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359708,,0,0,0,13810,MAGDALENA MEDIO,BOL?VAR,TIQUISIO,Desconocida,ND,Grupo Armado No Identificado,Presencia GAO sin Atribuci¢n,0,0,0,0,0,0,0,0,0,,,1,Publicado
359709,CR040080,0,0,0,68615,MAGDALENA MEDIO,SANTANDER,RIONEGRO,Coerci¢n,ND,Grupo Paramilitar,No Identificado,0,1,0,0,0,0,0,0,0,,,1,Publicado
359712,,0,0,0,81794,SARARE,ARAUCA,TAME,Retenci¢n,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,0,0,0,0,0,Matrimonio o Cohabitaci¢n Forzada,,1,Publicado
359723,,0,0,0,27615,ATRATO,CHOC?,RIOSUCIO,Desconocida,,Guerrilla,FARC,0,1,0,0,1,0,0,0,0,,,1,Publicado
359725,,0,0,0,25885,MAGDALENA MEDIO,CUNDINAMARCA,YACOP?,Desconocida,ND,Guerrilla,FARC,0,1,0,0,1,0,0,0,0,,,2,Publicado
359726,,0,0,0,50001,PIEDEMONTE LLANERO,META,VILLAVICENCIO,Asalto,,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,0,0,0,0,0,,,2,Publicado
359732,,0,0,0,73283,NORTE DEL TOLIMA,TOLIMA,FRESNO,Coerci¢n,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359733,,0,0,0,5895,BAJO CAUCA ANTIOQUE•O,ANTIOQUIA,ZARAGOZA,Desconocida,ND,Grupo Paramilitar,No Identificado,0,1,0,0,0,0,0,0,0,,,1,Publicado
359754,CR119009,0,0,0,5313,ORIENTE ANTIOQUE•O,ANTIOQUIA,GRANADA,Asalto,ND,Grupo Armado No Identificado,No aplica,0,1,0,0,0,0,0,0,0,,,1,Publicado
359755,CR119008,0,0,0,5313,ORIENTE ANTIOQUE•O,ANTIOQUIA,GRANADA,Retenci¢n/Ejecuci¢n,ND,Guerrilla,ELN,0,0,0,0,0,0,0,0,1,,,1,Publicado
359756,CR022045,0,0,0,5679,SUROESTE ANTIOQUE•O,ANTIOQUIA,SANTA B?RBARA,Asalto,ND,Agente del Estado - Grupo Paramilitar,,1,1,0,0,1,1,0,0,0,,,1,Publicado
359757,CR018982,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Guerrilla,FARC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359758,,0,0,0,5490,URABA,ANTIOQUIA,NECOCL?,Desconocida,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,2,Publicado
359762,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Asalto,Arma de Fuego,Agente del Estado,EjÇrcito Nacional,0,1,0,0,0,0,0,0,0,,,1,Publicado
359766,,0,0,0,5051,URABA,ANTIOQUIA,ARBOLETES,Retenci¢n,Asfixia Mec†nica - Objeto Contundente,Grupo Paramilitar,No Identificado,0,1,0,0,1,0,1,1,1,,,1,Publicado
359767,,0,0,0,47001,SIERRA NEVADA DE SANTA MARTA,MAGDALENA,SANTA MARTA,Desconocida,ND,Grupo Paramilitar,No Identificado,0,1,0,0,0,0,0,0,0,,,1,Publicado
359770,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Retenci¢n,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,1,,,1,Publicado
359771,,16,7,0,54810,CATATUMBO,NORTE DE SANTANDER,TIB?,Retenci¢n,Objeto Contundente,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,1,0,0,0,0,,,1,Publicado
359772,,16,7,0,54810,CATATUMBO,NORTE DE SANTANDER,TIB?,Retenci¢n,Objeto Contundente,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,1,0,0,0,0,,,1,Publicado
359773,,0,0,0,20178,SERRANIA DEL PERIJA,CESAR,CHIRIGUAN?,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359774,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359775,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359776,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359777,,0,0,0,25001,SUROCCIDENTE DE CUNDINAMARCA,CUNDINAMARCA,AGUA DE DIOS,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359778,,0,0,0,76001,SUR DEL VALLE,VALLE DEL CAUCA,CALI,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359779,,0,0,0,11001,AREA METROPOLITANA DE BOGOTA,"BOGOT?, D.C.","BOGOT?, D.C.",Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359780,,0,0,0,5001,VALLE DE ABURRA,ANTIOQUIA,MEDELL?N,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359781,,0,0,0,19212,NORTE DEL CAUCA,CAUCA,CORINTO,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
