id,ano,dept,municipio,presuntoRes,desPresuntoRes,num
352849,2011,Antioquia,VEGACH?,Desconocido,No aplica,1
352850,2011,Valle del Cauca,JAMUND?,Desconocido,No aplica,1
352851,2011,Magdalena,ZONA BANANERA,Guerrilla,No Identificada,1
352852,2011,Córdoba,MONTEL?BANO,Desconocido,No aplica,1
352853,2011,Guaviare,SAN JOS� DEL Guaviare,Guerrilla,No Identificada,1
352854,2011,Nariño,LA CRUZ,Guerrilla,No Identificada,1
352855,2011,Chocó,BAGAD?,Desconocido,No aplica,1
352856,2011,Cauca,PIAMONTE,Desconocido,No aplica,1
352857,2011,Chocó,BAGAD?,Guerrilla,No Identificada,1
352858,2011,Cauca,PAT?A,Desconocido,No aplica,1
352859,2011,Chocó,MEDIO ATRATO,Desconocido,No aplica,1
352860,2011,La Guajira,MAICAO,Guerrilla,No Identificada,1
352861,2011,Chocó,ALTO BAUD?,Desconocido,No aplica,1
352862,2011,Nariño,POLICARPA,Guerrilla,No Identificada,1
352863,2011,Nariño,PASTO,Grupo Posdesmovilización,No Identificado,1
352865,2011,Antioquia,SABANETA,Guerrilla,No Identificada,1
352866,2011,Cauca,EL TAMBO,Guerrilla,No Identificada,1
352867,2011,Cauca,CORINTO,Desconocido,No aplica,1
352868,2011,Nariño,SAMANIEGO,Guerrilla,ELN,1
352869,2011,Chocó,QUIBD?,Guerrilla,FARC,1
352870,2011,Antioquia,MEDELL?N,Grupo Posdesmovilización,No Identificado,1
352871,2011,Chocó,LLOR?,Guerrilla,ELN,1
352872,2011,Chocó,LLOR?,Guerrilla,ELN,1
352873,2011,Norte de Santander,CONVENCI?N,Grupo Posdesmovilización,No Identificado,1
352874,2011,Meta,VILLAVICENCIO,Guerrilla,FARC,1
352875,2011,Chocó,BAGAD?,Guerrilla,No Identificada,1
352876,2011,Cauca,Santander DE QUILICHAO,Guerrilla,No Identificada,1
352877,2011,Caquetá,CARTAGENA DEL CHAIR?,Desconocido,No aplica,1
352878,2011,Cauca,Sucre,Guerrilla,No Identificada,1
352879,2011,Arauca,TAME,Desconocido,No aplica,1
352880,2011,Nariño,SAMANIEGO,Guerrilla,No Identificada,1
352881,2011,Caquetá,CARTAGENA DEL CHAIR?,Guerrilla,FARC,1
352882,2011,Caquetá,CARTAGENA DEL CHAIR?,Desconocido,No aplica,1
352883,2011,Cauca,Bolívar,Guerrilla,No Identificada,1
352884,2011,Meta,VISTAHERMOSA,Guerrilla,No Identificada,1
352885,2011,Nariño,BARBACOAS,Desconocido,No aplica,1
352886,2011,Cauca,PAT?A,Guerrilla,No Identificada,1
352888,2011,Antioquia,YOND?,Guerrilla,No Identificada,1
352889,2012,Caquetá,CURILLO,Desconocido,No aplica,1
352890,2012,Córdoba,CANALETE,Desconocido,No aplica,1
352891,2012,Boyacá,PAUNA,Desconocido,No aplica,1
352892,2012,Tolima,CHAPARRAL,Desconocido,No aplica,1
352893,2012,Magdalena,SANTA MARTA,Desconocido,No aplica,1
352894,2012,Antioquia,CA�ASGORDAS,Guerrilla,FARC,1
352895,2012,Nariño,POLICARPA,Desconocido,No aplica,1
352896,2012,Antioquia,TURBO,Desconocido,No aplica,1
352897,2012,Chocó,QUIBD?,Guerrilla,FARC,1
352898,2012,Nariño,SAN PABLO,Guerrilla,No Identificada,2
352900,2012,Meta,LEJAN?AS,Guerrilla,No Identificada,1
